"GEO_ID","NAME","H002001","H002002","H002003","H002004","H002005","H002006"
"id","Geographic Area Name","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file"
"1400000US36119007800","Census Tract 78, Westchester County, New York","1320","1320","1320","0","0","0"
"1400000US36067011011","Census Tract 110.11, Onondaga County, New York","1511","1511","1511","0","0","0"
"1400000US36087010802","Census Tract 108.02, Rockland County, New York","1782","1782","1782","0","0","0"
"1400000US36067014200","Census Tract 142, Onondaga County, New York","1808","1808","1808","0","0","0"
"1400000US36065024000","Census Tract 240, Oneida County, New York","1970","0","0","0","1970","0"
"1400000US36047036501","Census Tract 365.01, Kings County, New York","1202","1202","1202","0","0","0"
"1400000US36067004400","Census Tract 44, Onondaga County, New York","803","803","803","0","0","0"
"1400000US36107020702","Census Tract 207.02, Tioga County, New York","1932","334","0","334","1598","0"
"1400000US36119010901","Census Tract 109.01, Westchester County, New York","873","873","873","0","0","0"
"1400000US36103135301","Census Tract 1353.01, Suffolk County, New York","1300","1300","1300","0","0","0"
"1400000US36047020600","Census Tract 206, Kings County, New York","951","951","951","0","0","0"
"1400000US36119010600","Census Tract 106, Westchester County, New York","1639","1639","1639","0","0","0"
"1400000US36061031900","Census Tract 319, New York County, New York","1","1","1","0","0","0"
"1400000US36085029103","Census Tract 291.03, Richmond County, New York","2818","2818","2818","0","0","0"
"1400000US36119000201","Census Tract 2.01, Westchester County, New York","2725","2725","2725","0","0","0"
"1400000US36111952400","Census Tract 9524, Ulster County, New York","1506","1506","1506","0","0","0"
"1400000US36081081400","Census Tract 814, Queens County, New York","1107","1107","1107","0","0","0"
"1400000US36061002100","Census Tract 21, New York County, New York","3020","3020","3020","0","0","0"
"1400000US36061015801","Census Tract 158.01, New York County, New York","2912","2912","2912","0","0","0"
"1400000US36047152200","Census Tract 1522, Kings County, New York","1126","1126","1126","0","0","0"
"1400000US36005024600","Census Tract 246, Bronx County, New York","805","805","805","0","0","0"
"1400000US36017970802","Census Tract 9708.02, Chenango County, New York","1789","0","0","0","1789","0"
"1400000US36103158304","Census Tract 1583.04, Suffolk County, New York","2456","2456","2456","0","0","0"
"1400000US36005025400","Census Tract 254, Bronx County, New York","876","876","876","0","0","0"
"1400000US36047043800","Census Tract 438, Kings County, New York","1070","1070","1070","0","0","0"
"1400000US36061012800","Census Tract 128, New York County, New York","3689","3689","3689","0","0","0"
"1400000US36035970200","Census Tract 9702, Fulton County, New York","1461","431","0","431","1030","0"
"1400000US36029015402","Census Tract 154.02, Erie County, New York","2247","1718","1718","0","529","0"
"1400000US36029003100","Census Tract 31, Erie County, New York","1309","1309","1309","0","0","0"
"1400000US36027050104","Census Tract 501.04, Dutchess County, New York","2256","2256","2256","0","0","0"
"1400000US36029013702","Census Tract 137.02, Erie County, New York","2525","2145","2145","0","380","0"
"1400000US36047019800","Census Tract 198, Kings County, New York","782","782","782","0","0","0"
"1400000US36061010300","Census Tract 103, New York County, New York","1414","1414","1414","0","0","0"
"1400000US36005006400","Census Tract 64, Bronx County, New York","1407","1407","1407","0","0","0"
"1400000US36119007402","Census Tract 74.02, Westchester County, New York","1100","1100","1100","0","0","0"
"1400000US36103111803","Census Tract 1118.03, Suffolk County, New York","872","872","872","0","0","0"
"1400000US36047029400","Census Tract 294, Kings County, New York","628","628","628","0","0","0"
"1400000US36047027100","Census Tract 271, Kings County, New York","1011","1011","1011","0","0","0"
"1400000US36067011242","Census Tract 112.42, Onondaga County, New York","2247","2247","2247","0","0","0"
"1400000US36087011506","Census Tract 115.06, Rockland County, New York","761","761","761","0","0","0"
"1400000US36043011400","Census Tract 114, Herkimer County, New York","2024","0","0","0","2024","0"
"1400000US36111951100","Census Tract 9511, Ulster County, New York","1262","788","788","0","474","0"
"1400000US36047040000","Census Tract 400, Kings County, New York","1267","1267","1267","0","0","0"
"1400000US36061004300","Census Tract 43, New York County, New York","2589","2589","2589","0","0","0"
"1400000US36029009107","Census Tract 91.07, Erie County, New York","2073","2073","2073","0","0","0"
"1400000US36029004800","Census Tract 48, Erie County, New York","1914","1914","1914","0","0","0"
"1400000US36081107202","Census Tract 1072.02, Queens County, New York","0","0","0","0","0","0"
"1400000US36059406702","Census Tract 4067.02, Nassau County, New York","1864","1864","1864","0","0","0"
"1400000US36085021300","Census Tract 213, Richmond County, New York","1691","1691","1691","0","0","0"
"1400000US36069050800","Census Tract 508, Ontario County, New York","1429","1429","1429","0","0","0"
"1400000US36035970700","Census Tract 9707, Fulton County, New York","1803","1803","0","1803","0","0"
"1400000US36047116800","Census Tract 1168, Kings County, New York","690","690","690","0","0","0"
"1400000US36047091200","Census Tract 912, Kings County, New York","2333","2333","2333","0","0","0"
"1400000US36119008301","Census Tract 83.01, Westchester County, New York","1064","1064","1064","0","0","0"
"1400000US36071010801","Census Tract 108.01, Orange County, New York","1418","1250","0","1250","168","0"
"1400000US36061011800","Census Tract 118, New York County, New York","6283","6283","6283","0","0","0"
"1400000US36115082001","Census Tract 820.01, Washington County, New York","2392","0","0","0","2392","0"
"1400000US36103170101","Census Tract 1701.01, Suffolk County, New York","1191","1191","0","1191","0","0"
"1400000US36103145903","Census Tract 1459.03, Suffolk County, New York","1858","1858","1858","0","0","0"
"1400000US36109000200","Census Tract 2, Tompkins County, New York","2004","2004","2004","0","0","0"
"1400000US36019100800","Census Tract 1008, Clinton County, New York","2074","1223","0","1223","851","0"
"1400000US36061016001","Census Tract 160.01, New York County, New York","1883","1883","1883","0","0","0"
"1400000US36083052203","Census Tract 522.03, Rensselaer County, New York","2576","1457","1457","0","1119","0"
"1400000US36081043400","Census Tract 434, Queens County, New York","536","536","536","0","0","0"
"1400000US36081027100","Census Tract 271, Queens County, New York","2714","2714","2714","0","0","0"
"1400000US36047088000","Census Tract 880, Kings County, New York","1176","1176","1176","0","0","0"
"1400000US36059412700","Census Tract 4127, Nassau County, New York","1355","1355","1355","0","0","0"
"1400000US36047064600","Census Tract 646, Kings County, New York","753","753","753","0","0","0"
"1400000US36061023600","Census Tract 236, New York County, New York","3107","3107","3107","0","0","0"
"1400000US36103112103","Census Tract 1121.03, Suffolk County, New York","1582","1582","1582","0","0","0"
